subset,condition,method,mse_norm_mean,mse_norm_std,mse_norm_median,mse_norm_q025,mse_norm_q975,mse_norm_n,psnr_norm_db_mean,psnr_norm_db_std,psnr_norm_db_median,psnr_norm_db_q025,psnr_norm_db_q975,psnr_norm_db_n,gfc_mean,gfc_std,gfc_median,gfc_q025,gfc_q975,gfc_n,low_frequency_nrmse_mean,low_frequency_nrmse_std,low_frequency_nrmse_median,low_frequency_nrmse_q025,low_frequency_nrmse_q975,low_frequency_nrmse_n,peak_amplitude_ratio_mean,peak_amplitude_ratio_std,peak_amplitude_ratio_median,peak_amplitude_ratio_q025,peak_amplitude_ratio_q975,peak_amplitude_ratio_n,peak_location_error_samples_mean,peak_location_error_samples_std,peak_location_error_samples_median,peak_location_error_samples_q025,peak_location_error_samples_q975,peak_location_error_samples_n
weak_long,ID resampling,DnCNN,0.00770108569849981,0.0053420771549713315,0.005920709343627095,0.0014316847402369604,0.022390857059508554,48,22.145520282490434,3.1254578175063927,22.27721856081884,16.500584297027444,28.449901826815758,48,0.7398072824349753,0.3413342448874851,0.8967768181093607,-0.09105170329975086,0.9940069493994895,48,0.872194242313665,0.9740038373128925,0.5129970903609291,0.11113604093986773,3.152461120583056,48,1.799123499678965,1.3123863207930941,1.354358470429994,0.7419506607053719,5.754520817841898,48,99.35416666666667,129.7863202284421,44.0,0.0,479.27499999999986,48
weak_long,ID resampling,DnResUnet,0.0034946891640477893,0.0035191500867490224,0.0021154439309611917,0.0003726137314515654,0.012482139607891428,48,26.70177839671264,4.498567148708925,26.752313946663644,19.05635027468029,34.288414553577255,48,0.8261309080253708,0.35078549083240007,0.9605798399321839,-0.13314529016898832,0.9990245594103767,48,0.5633218501561602,0.6347318230241414,0.28893370729565404,0.0542816846234125,2.1719413877510623,48,1.2789329489648316,0.5950397267269141,1.090932495474911,0.623906038738569,3.007333393915107,48,90.02083333333333,139.39481500527418,22.0,0.0,508.54999999999995,48
weak_long,ID resampling,No denoise,0.056385939940810204,0.022860010429999154,0.05209620110690594,0.01967812734656036,0.10816314574331043,48,12.866664902706653,1.902903485310475,12.83198252546369,9.660319544769402,17.06141455646225,48,0.5377253677577593,0.328332188615997,0.584450769650604,-0.03798349820023176,0.9204283156016815,48,1.5425102729477749,1.7323008035055831,0.752746752360488,0.1738867552933889,5.8083698738130485,48,6.007281304897538,6.890287042620264,3.591504913284311,1.3054673448389609,18.6674217675682,48,154.83333333333334,146.29994449371895,111.0,0.3500000000000001,495.825,48
weak_long,ID resampling,Savitzky-Golay,0.025414365663891658,0.01665666485698759,0.020434053614735603,0.00418443811358884,0.06345942020416259,48,16.920862495194612,3.093986861906518,16.89647502494514,11.975117996380938,23.86107212443413,48,0.6340795433066805,0.35173202342983195,0.7867466912920648,-0.06458595369533313,0.9788269362051768,48,1.529495501614962,1.71892217250722,0.7463839622267334,0.1732500157633673,5.785502451866927,48,3.4687382390593933,3.077821221799782,2.164785467946327,0.9831109817987619,12.156987590609095,48,134.25,148.1562573627745,71.0,0.0,508.0249999999999,48
weak_long,ID resampling,TCN,0.003797086195239293,0.004220444667127807,0.0020544584840536118,0.00031086651506484486,0.015425281412899493,48,26.6200699832701,4.731440051216134,26.874554008065697,18.11781698834405,35.109409501665226,48,0.8105330946264365,0.3587978833163723,0.9614818728941708,-0.21670383207629892,0.9988465969208101,48,0.5851412216369342,0.7108205220428261,0.3347786252621986,0.045722027649949315,2.5621196837909106,48,1.3489173580666047,0.8068186136832943,1.1032793391584526,0.6130009880716081,3.6009233820977005,48,80.39583333333333,133.70143613597685,24.5,0.0,505.72499999999997,48
weak_long,ID resampling,UNet1D,0.003950429455168584,0.003971225748418482,0.002502799965441227,0.0004633779884898104,0.012349109351634966,48,26.086011552269998,4.450894917416473,26.016111462069183,19.101926661405088,33.43258642959554,48,0.8259394635725394,0.3160090751664461,0.9435256223609494,-0.02208956983868495,0.9985646144575592,48,0.5798978077798527,0.6239428203750375,0.36515358701029865,0.06888833400770163,2.333953073381181,48,1.195783038546383,0.5771509679336208,1.0019080601209636,0.5477500877267802,3.004933651189631,48,125.14583333333333,160.35240308071116,46.0,0.0,511.0,48
weak_long,ID resampling,Wavelet,0.029170684057035493,0.02367878975727678,0.02057708954124325,0.002508759984748152,0.082231500837117,48,17.154158802486084,4.45341280094481,16.867218077348255,10.852519267610075,26.00541151188005,48,0.631812806458435,0.3568777589196771,0.7860660611931665,-0.09949921181397578,0.9917191413258367,48,1.3644719333858744,1.5275889499760265,0.6352838767213065,0.11332711452499315,5.557808992152153,48,4.1641843468909086,3.9682134797188784,2.2981434755141574,0.9959729554341559,14.314807072851405,48,132.39583333333334,140.51542500067586,67.0,0.17500000000000004,495.825,48
weak_long,ID resampling,Wiener,0.019787874621069332,0.011721097163255857,0.016530176261713353,0.00555868430463207,0.046454708406705646,48,17.794351385827852,2.6610495651348356,17.81876617609246,13.32992239827294,22.550291270963765,48,0.6539725665454289,0.3523687709078156,0.8159401987109494,-0.09560138358262611,0.9805093138636904,48,1.3148753916247597,1.4675865471577305,0.6367838887032093,0.13502338894411012,4.923013238022612,48,4.217547168810245,4.0904659310603915,2.603580656953598,0.9787766020591235,13.26002552728752,48,165.04166666666666,164.27545087098454,114.0,0.0,494.65,48
weak_long,Sparse acquisition,BasicCNN,0.005824956322612707,0.002732231562988845,0.0052750816103070974,0.002216072048759088,0.011464379378594456,48,22.732857723220974,1.8367277331848493,22.778078084830057,19.407390977060324,26.549726330211875,48,0.8256382924118264,0.1766741942275345,0.8759129109781871,0.4218630834795031,0.9912528190219753,48,0.5363350217499251,0.6083606518680991,0.4083735362912713,0.1081149891721355,1.3265884591492427,48,1.6120998565045772,1.2758261873072252,1.1804338926638065,0.8403148229827404,2.6773366521392474,48,99.10416666666667,121.76787117443834,60.5,1.35,449.17499999999967,48
weak_long,Sparse acquisition,DnCNN,0.0028025252213410567,0.002603042234827786,0.002132741268724203,0.0006794131870265119,0.008695425163023168,48,26.573570379507146,2.877484173191411,26.710681016365015,20.617565699182105,31.68214188426063,48,0.9076764287552123,0.11036475164389631,0.9414847029472504,0.6026311082759009,0.9975245922655859,48,0.3871842041189706,0.4021733878713354,0.3342931334860767,0.06493131061732925,1.0304454045347653,48,1.281969472119429,0.7197277062806948,1.0809838917487855,0.7367948473225348,1.978758581503788,48,108.85416666666667,138.66797780084588,38.0,3.175,501.34999999999985,48
