noise_std,sample_index,method,mse,psnr,gfc
0.01,6,UNet1D,0.00013749529898632318,38.61712150264269,0.9998558163642883
0.01,6,TCN,1.4723476851941086e-05,48.31989622110426,0.9999803900718689
0.01,7,No Denoise,0.0007223098655231297,31.412764533759034,0.9992240071296692
0.01,7,Wavelet,0.0005862599355168641,32.319097841001685,0.9993702173233032
0.01,7,S-G Filter,0.000394364760722965,34.041018992767505,0.9995763301849365
0.01,7,Wiener,0.00021132701658643782,36.75044978080769,0.9997722506523132
0.01,7,DnResUnet,8.471628098050132e-05,40.720331178804834,0.9999086260795593
0.01,7,BasicCNN,0.00031375300022773445,35.0341211259897,0.9996694922447205
0.01,7,DnCNN,0.0001331654202658683,38.756085359571784,0.99985671043396
0.01,7,UNet1D,0.000762414070777595,31.178090971484874,0.9998443126678467
0.01,7,TCN,6.459047290263698e-05,41.89831535734697,0.9999308586120605
0.01,8,No Denoise,0.005382988601922989,22.689765397695233,0.9919031858444214
0.01,8,Wavelet,0.0008489459287375212,30.71119970060813,0.998741865158081
0.01,8,S-G Filter,0.001419329782947898,28.479166839828345,0.997876763343811
0.01,8,Wiener,0.0009640412172302604,30.159043975982136,0.9985408186912537
0.01,8,DnResUnet,0.0003732740879058838,34.27972157060247,0.9994262456893921
0.01,8,BasicCNN,0.001257174531929195,29.006044255821134,0.9980396032333374
0.01,8,DnCNN,0.00043467205250635743,33.61838282129052,0.999329149723053
0.01,8,UNet1D,0.0006675519980490208,31.7551489987167,0.9993875026702881
0.01,8,TCN,0.00030187860829755664,35.20167660834094,0.9995584487915039
0.01,9,No Denoise,2.5373536118422635e-05,45.95619004212928,0.9999538660049438
0.01,9,Wavelet,8.921329936129041e-06,50.4957039888972,0.9999845027923584
0.01,9,S-G Filter,1.1009836271114182e-05,49.58219139436999,0.9999807476997375
0.01,9,Wiener,1.0147079592570662e-05,49.93658933054179,0.9999843835830688
0.01,9,DnResUnet,2.1650263079209253e-05,46.64536822028643,0.9999752044677734
0.01,9,BasicCNN,1.4280632967711426e-05,48.45252542679447,0.9999749660491943
0.01,9,DnCNN,6.102261977503076e-06,52.14509151504874,0.9999911189079285
0.01,9,UNet1D,6.533871783176437e-05,41.84829392114225,0.9999436140060425
0.01,9,TCN,2.990683242387604e-06,55.24229582745362,0.9999949932098389
0.01,10,No Denoise,0.0003161066852044314,35.00166319355947,0.9996216297149658
0.01,10,Wavelet,0.00013203523121774197,38.79310169688744,0.9998430013656616
0.01,10,S-G Filter,0.0001261934667127207,38.98963128800767,0.9998502731323242
0.01,10,Wiener,7.951438601594418e-05,40.99554290184746,0.9999093413352966
0.01,10,DnResUnet,5.0740010919980705e-05,42.946494436478545,0.9999454021453857
0.01,10,BasicCNN,0.0001262361474800855,38.98816267886799,0.9998593926429749
0.01,10,DnCNN,5.106561366119422e-05,42.91871444759522,0.9999402165412903
0.01,10,UNet1D,0.00022991529840510339,36.38432130114499,0.9997971057891846
0.01,10,TCN,4.420598997967318e-05,43.54518879092923,0.9999487400054932
0.01,11,No Denoise,7.357072900049388e-05,41.33294940582168,0.9998862147331238
0.01,11,Wavelet,1.9310024072183296e-05,47.14217184821855,0.9999717473983765
0.01,11,S-G Filter,2.1334764824132435e-05,46.709121400624376,0.999968409538269
0.01,11,Wiener,4.825445284950547e-05,43.16462604418844,0.9999237656593323
0.01,11,DnResUnet,1.536435229354538e-05,48.134857433326445,0.9999819993972778
0.01,11,BasicCNN,4.371345858089626e-05,43.59384831049204,0.9999309182167053
0.01,11,DnCNN,3.64013176294975e-05,44.38882895777783,0.9999475479125977
0.01,11,UNet1D,0.00019912868447136134,37.00866175380255,0.9998683333396912
0.01,11,TCN,1.1784796697611455e-05,49.28677905194565,0.9999821186065674
0.01,12,No Denoise,0.0018355201464146376,27.362408443778147,0.9980366230010986
0.01,12,Wavelet,0.0007242497522383928,31.401116446937788,0.9992243051528931
0.01,12,S-G Filter,0.0007586543215438724,31.1995606395049,0.9991873502731323
0.01,12,Wiener,0.0004512561426963657,33.45576873239243,0.9995153546333313
0.01,12,DnResUnet,0.00018651019490789622,37.29297424063168,0.9998038411140442
0.01,12,BasicCNN,0.0006325116846710443,31.98931447161971,0.9993381500244141
0.01,12,DnCNN,0.00029814449953846633,35.25573198533998,0.9996857047080994
0.01,12,UNet1D,0.00023394092568196356,36.30893795963066,0.9997490644454956
0.01,12,TCN,0.0001884186640381813,37.248760798482394,0.999803900718689
0.01,13,No Denoise,0.0013083519879728556,28.832754013714492,0.9982202053070068
0.01,13,Wavelet,0.0012281655799597502,29.10743078133638,0.9983293414115906
0.01,13,S-G Filter,0.000984172336757183,30.06928846335621,0.9986634254455566
0.01,13,Wiener,0.0005727325333282351,32.42048146651588,0.9992132186889648
0.01,13,DnResUnet,0.00021881383145228028,36.59925229260243,0.9997144341468811
0.01,13,BasicCNN,0.0006444125901907682,31.908359831551124,0.9991055727005005
0.01,13,DnCNN,0.0003296907525509596,34.818932341501835,0.999544620513916
0.01,13,UNet1D,0.0004477841139305383,33.489313179804974,0.9995293617248535
0.01,13,TCN,0.0002105425373883918,36.766601473972614,0.9997267127037048
0.01,14,No Denoise,0.0001728556235320866,37.623164869388944,0.9996010065078735
0.01,14,Wavelet,6.664904503850266e-05,41.76206068867975,0.999850869178772
0.01,14,S-G Filter,6.342661799862981e-05,41.97728445211255,0.9998583197593689
0.01,14,Wiener,3.8465557736344635e-05,44.14927966071397,0.9999220967292786
0.01,14,DnResUnet,3.7284069549059495e-05,44.284766905712175,0.9999654293060303
0.01,14,BasicCNN,6.946678331587464e-05,41.582228108206095,0.9998601078987122
0.01,14,DnCNN,1.6821144527057186e-05,47.741444577132164,0.999963641166687
0.01,14,UNet1D,8.954702934715897e-05,40.479488169566125,0.9997915029525757
0.01,14,TCN,1.4901999747962691e-05,48.267554482836495,0.9999681115150452
0.01,15,No Denoise,0.00026040864759124815,35.843445979118236,0.9997254610061646
0.01,15,Wavelet,5.3626012231688946e-05,42.70624497091826,0.9999436140060425
0.01,15,S-G Filter,6.24988679192029e-05,42.04127849230262,0.9999342560768127
0.01,15,Wiener,4.27452614530921e-05,43.69112022195136,0.9999549388885498
